구분,고급휘발유,보통휘발유,자동차용경유
2025년01월27일,1960.47,1733.26,1596.79
2025년01월28일,1961.00,1733.48,1597.01
2025년01월29일,1961.12,1733.36,1597.04
2025년01월30일,1960.67,1733.32,1597.01
2025년01월31일,1961.26,1733.41,1597.53
2025년02월01일,1959.73,1733.20,1597.51
2025년02월02일,1959.49,1733.05,1597.33
2025년02월03일,1961.70,1733.33,1597.71
2025년02월04일,1961.56,1733.20,1597.84
2025년02월05일,1961.21,1732.99,1597.81
2025년02월06일,1961.06,1732.74,1597.94
2025년02월07일,1960.67,1732.48,1597.82
2025년02월08일,1958.11,1731.79,1597.25
2025년02월09일,1958.20,1731.66,1596.91
2025년02월10일,1960.10,1731.75,1597.39
2025년02월11일,1959.74,1730.97,1596.65
2025년02월12일,1959.51,1730.42,1596.19
2025년02월13일,1959.01,1729.75,1595.69
2025년02월14일,1958.63,1729.18,1595.17
2025년02월15일,1956.10,1728.28,1594.37
2025년02월16일,1956.05,1727.69,1594.00
2025년02월17일,1958.10,1727.83,1594.09
2025년02월18일,1957.92,1727.07,1593.26
2025년02월19일,1957.54,1726.26,1592.53
2025년02월20일,1957.02,1725.47,1591.85
2025년02월21일,1956.77,1724.89,1591.23
2025년02월22일,1954.22,1723.75,1590.41
2025년02월23일,1954.17,1723.89,1590.03
2025년02월24일,1956.57,1723.64,1590.14
2025년02월25일,1956.09,1723.03,1589.34
2025년02월26일,1955.40,1722.06,1588.33
2025년02월27일,1955.14,1720.98,1587.30
2025년02월28일,1954.36,1719.92,1586.30
2025년03월01일,1950.24,1718.21,1584.46
2025년03월02일,1950.16,1717.82,1583.79
2025년03월03일,1951.06,1717.60,1583.55
2025년03월04일,1952.03,1716.53,1582.69
2025년03월05일,1950.91,1714.80,1580.89
2025년03월06일,1949.42,1712.37,1578.28
2025년03월07일,1947.04,1709.75,1575.56
2025년03월08일,1942.26,1706.36,1572.11
2025년03월09일,1942.04,1705.81,1571.06
2025년03월10일,1944.54,1704.26,1569.85
2025년03월11일,1942.09,1700.14,1565.33
2025년03월12일,1940.31,1696.42,1561.88
2025년03월13일,1937.41,1692.86,1558.41
2025년03월14일,1935.87,1689.68,1555.50
2025년03월15일,1931.57,1687.05,1552.97
2025년03월16일,1931.24,1685.99,1551.71
2025년03월17일,1932.71,1684.07,1550.10
2025년03월18일,1931.18,1681.64,1547.62
2025년03월19일,1929.56,1679.27,1545.44
2025년03월20일,1928.15,1677.14,1543.39
2025년03월21일,1927.40,1675.10,1541.64
2025년03월22일,1923.87,1673.09,1539.30
2025년03월23일,1923.69,1672.41,1538.56
2025년03월24일,1926.13,1671.57,1538.07
2025년03월25일,1924.89,1669.69,1536.25
2025년03월26일,1923.69,1668.20,1534.94
2025년03월27일,1923.53,1667.12,1533.90
2025년03월28일,1922.84,1666.43,1533.31
2025년03월29일,1921.01,1664.95,1531.95
2025년03월30일,1921.10,1665.07,1531.63
2025년03월31일,1922.60,1665.28,1531.83
2025년04월01일,1922.53,1665.07,1531.55
2025년04월02일,1922.71,1665.01,1531.57
2025년04월03일,1922.67,1665.10,1531.53
2025년04월04일,1922.49,1664.71,1530.95
2025년04월05일,1919.13,1663.17,1529.10
2025년04월06일,1918.96,1662.54,1528.46
2025년04월07일,1920.54,1661.51,1527.65
2025년04월08일,1918.49,1659.10,1525.17
2025년04월09일,1916.36,1656.28,1522.40
2025년04월10일,1914.81,1653.64,1520.01
2025년04월11일,1912.89,1651.13,1517.50
2025년04월12일,1909.14,1648.82,1515.50
